frame_diff,frame_number,side,Rally,,
1,1520,right,,,
1,1521,right,,,
1,1522,right,,,
1,1523,right,,,
1,1524,right,,,
1,1525,right,,,
1,1526,right,,,
1,1527,right,,,
3,1530,right,,,
3,1533,right,,,
1,1534,right,,,
2,1543,left,,,
2,1545,left,,,
1,1547,right,,,
1,1548,right,,,
1,1549,right,,,
1,1550,right,,,
1,1551,right,,,
1,1552,right,,,
1,1553,right,,,
1,1554,right,,,
1,1555,right,,,
2,1557,right,,,
1,1558,right,,,
3,1561,right,,,
1,1562,left,,,
1,1563,left,,,
1,1564,left,,,
1,1565,left,,,
2,1567,left,,,
1,1568,left,,,
1,1569,left,,,
2,1572,left,,,
3,1575,left,,,
1,1576,left,,,
2,1579,right,,,
1,1580,right,,,
1,1581,right,,,
1,1582,right,,,
1,1583,right,,,
4,1587,right,,,
1,1588,right,,,
1,1589,right,,,
1,1590,left,,,
1,1591,left,,,
1,1592,left,,,
1,1593,left,,,
1,1594,left,,,
1,1595,left,,,
1,1596,left,,,
1,1597,left,,,
3,1601,left,,,
1,1602,left,,,
1,1603,left,,,
1,1604,left,,,
1,1605,left,,,
1,1607,right,,,
1,1608,right,,,
1,1609,right,,,
1,1610,right,,,
1,1611,right,,,
1,1612,right,,,
1,1613,right,,,
1,1614,right,,,
1,1615,right,,,
1,1616,right,,,
1,1617,right,,,
1,1618,right,,,
1,1619,right,,,
1,1620,left,,,
1,1621,left,,,
1,1622,left,,,
2,1624,left,,,
1,1625,left,,,
1,1626,left,,,
1,1627,left,,,
5,1633,left,,,
1,1634,left,,,
1,1635,left,,,
1,1637,right,,,
1,1638,right,,,
1,1639,right,,,
1,1640,right,,,
1,1641,right,,,
1,1642,right,,,
1,1643,right,,,
1,1644,right,,,
1,1645,right,,,
1,1646,right,,,
1,1647,right,,,
1,1648,right,,,
1,1649,right,,,
1,1650,left,,,
1,1651,left,,,
1,1652,left,,,
1,1653,left,,,
1,1654,left,,,
1,1655,left,,,
1,1656,left,,,
1,1657,left,,,
2,1659,left,,,
1,1660,left,,,
1,1661,left,,,
1,1662,left,,,
1,1663,left,,,
1,1665,right,,,
1,1666,right,,,
1,1667,right,,,
1,1668,right,,,
1,1669,right,,,
1,1670,right,,,
1,1671,right,,,
1,1672,right,,,
2,1679,left,,,
1,1680,left,,,
1,1681,left,,,
1,1682,left,,,
1,1683,left,,,
1,1684,left,,,
1,1685,left,,,
3,1689,left,,,
1,1690,left,,,
2,1692,left,,,
1,1694,right,,,
1,1695,right,,,
1,1696,right,,,
2,1698,right,,,
1,1699,right,,,
1,1700,right,,,
1,1701,right,,,
1,1702,right,,,
1,1703,right,,,
2,1705,right,,,
1,1706,right,,,
3,1709,right,,,
1,1710,left,,,
2,1712,left,,,
2,1715,right,,,
1,1716,right,,,
2,1718,left,,,
2,1720,left,,,
2,1723,right,,,
3,1726,right,,,
1,1727,right,,,
1,1728,right,,,
1,1729,right,,,
1,1730,right,,,
1,1731,right,,,
2,1733,right,,,
1,1734,right,,,
1,1735,right,,,
1,1736,right,,,
1,1737,right,,,
1,1738,left,,,
3,1741,left,,,
1,1742,left,,,
1,1743,left,,,
1,1750,right,,,
1,1751,right,,,
1,1752,right,,,
1,1753,right,,,
1,1754,right,,,
1,1755,right,,,
1,1756,right,,,
1,1757,right,,,
1,1758,right,,,
5,1766,left,,,
1,1767,left,,,
1,1768,left,,,
1,1769,left,,,
1,1770,left,,,
3,1774,left,,,
1,1775,left,,,
1,1777,right,,,
1,1778,right,,,
1,1779,right,,,
1,1780,right,,,
2,1782,right,,,
1,1783,right,,,
3,1786,right,,,
1,1787,right,,,
1,1788,right,,,
1,1789,left,,,
